time_s,x_m,y_m,altitude_m,vz_m_s,speed_m_s,thrust_N
7.664999999999924,-0.21046177221312848,0.009527539886691009,561.6561354846981,25.82097307677698,25.821004998895837,0.0
7.684999999999923,-0.21127326483828973,0.009559654975653047,562.1703768018779,25.603220120518493,25.603252328173166,0.0
7.704999999999923,-0.21208493689085708,0.009591780759201331,562.6802667363294,25.38583417092778,25.385866668982448,0.0
7.724999999999922,-0.21289679326828184,0.009623931661647156,563.1858125902817,25.168811441564443,25.16884423498307,0.0
7.744999999999922,-0.21370883875897284,0.009656119088038496,563.6870215904715,24.95214816950158,24.952181263430077,0.0
7.7649999999999215,-0.21452107891446248,0.00968835184337686,564.1839008886105,24.735840615215277,24.735874014857803,0.0
7.784999999999921,-0.2153335183960234,0.009720637795507124,564.6764575618502,24.51988506207374,24.5199187727836,0.0
7.804999999999921,-0.21614616137473483,0.009752984067456751,565.1646986132378,24.304277816290345,24.304311843400015,0.0
7.82499999999992,-0.21695901032356002,0.009785398424409496,565.648630972169,24.08901520642237,24.089049555284905,0.0
7.84499999999992,-0.21777206622401127,0.009817888317881761,566.1282614948324,23.874093583167788,23.87412825911106,0.0
7.864999999999919,-0.21858532759534513,0.009850459413913475,566.6035969646498,23.65950931910361,23.659544327351643,0.0
7.884999999999919,-0.21939879065406906,0.009883115718918329,567.0746440927098,23.445258808225326,23.445294154000347,0.0
7.9049999999999185,-0.22021245034435682,0.009915859924921567,567.5414095181933,23.231338465777892,23.231374154281262,0.0
7.924999999999918,-0.22102630013500982,0.009948693555782545,568.0038998087954,23.017744727920338,23.017780764374308,0.0
7.944999999999918,-0.2218403320438615,0.00998161742597762,568.4621214611421,22.80447405142914,22.80451044113403,0.0
7.964999999999917,-0.22265453810357305,0.010014632700284251,568.9160809011983,22.591522913457077,22.591559661819485,0.0
7.984999999999917,-0.2234689095389113,0.010047741033002825,569.365784484674,22.378887811295794,22.378924923821877,0.0
8.004999999999917,-0.22428343733470033,0.010080943124785038,569.8112384974243,22.16656526211672,22.16660274440001,0.0
8.024999999999917,-0.22509811229961307,0.010114238245246663,570.2524491558429,21.95455180258074,21.95458966041945,0.0
8.044999999999916,-0.22591292560249165,0.01014762376137948,570.6894226072512,21.742843988724808,21.742882228079548,0.0
8.064999999999916,-0.2267278686053484,0.010181096622438407,571.1221649302822,21.53143839569306,21.531477022652524,0.0
8.084999999999916,-0.22754293151552002,0.01021465332036868,571.5506821352618,21.320331617495714,21.320370638230845,0.0
8.104999999999915,-0.22835810404445211,0.010248289430422159,571.9749801645813,21.109520266684232,21.10955968747256,0.0
8.124999999999915,-0.22917337530209056,0.010282000471869484,572.3950648930665,20.899000974114127,20.899040801348622,0.0
8.144999999999914,-0.22998873322503383,0.01031578121223237,572.8109421283424,20.688770388776547,20.68881062889324,0.0
8.164999999999914,-0.23080416473077836,0.010349625511236995,573.2226176111915,20.47882517739712,20.478865836960924,0.0
8.184999999999913,-0.231619656165183,0.010383527156688565,573.6300970159069,20.269162024291266,20.26920310997877,0.0
8.204999999999913,-0.2324351930954651,0.010417479923205766,574.033385950642,20.05977763110259,20.059819149705923,0.0
8.224999999999913,-0.2332507607828516,0.010451477890443848,574.432489957753,19.85066871643978,19.850710675005313,0.0
8.244999999999912,-0.23406634484653385,0.010485515405168715,574.8274145141374,19.64183201579344,19.641874421597397,0.0
8.264999999999912,-0.23488193150991923,0.010519587047054713,575.2181650315686,19.433264281198987,19.4333071418359,0.0
8.284999999999911,-0.23569750764244654,0.010553687455698561,575.6047468570248,19.224962281117683,19.225005604465764,0.0
8.304999999999911,-0.23651306035222303,0.010587811581707605,575.9871652730163,19.01692280020349,19.01696659439171,0.0
